number,name,slug,created_at,updated_at,rating,url
68,Prateek Explosionproof Private Limited,Slug68,2010-03-20,2010-03-21,2,selcouth/profile2
69,Achintya Projects & Services,Slug69,2010-03-21,2010-03-22,5,selcouth/profile3
70,Mjr Corporations,Slug70,2010-03-22,2010-03-23,3,selcouth/profile1
71,Shubh Die Castings Private Limited,Slug71,2010-03-23,2010-03-24,2,selcouth/profile2
72,Samju Sales Corporation,Slug72,2010-03-24,2010-03-25,5,selcouth/profile3
73,Eledea,Slug73,2010-03-25,2010-03-26,5,selcouth/profile1
74,Melux Control Gears Private Limited,Slug74,2010-03-26,2010-03-27,2,selcouth/profile2
75,Efforts Enterprises,Slug75,2010-03-27,2010-03-28,4,selcouth/profile3
76,Kwality Photonics Private Limited,Slug76,2010-03-28,2010-03-29,3,selcouth/profile1
77,Bio - X,Slug77,2010-03-29,2010-03-30,3,selcouth/profile2
78,Phoenix Luminaries Private Limited,Slug78,2010-03-30,2010-03-31,4,selcouth/profile1
79,Chevron Inc.,Slug79,2010-03-31,2010-04-01,2,selcouth/profile2
80,Venture Lighting India Limited,Slug80,2010-04-01,2010-04-02,3,selcouth/profile3
81,Success Impex Private Limited,Slug81,2010-04-02,2010-04-03,4,selcouth/profile1
82,S. R. Electronics,Slug82,2010-04-03,2010-04-04,4,selcouth/profile2
83,Vastra Gram,Slug83,2010-04-04,2010-04-05,2,selcouth/profile3
84,Shivam Exports,Slug84,2010-04-05,2010-04-06,4,selcouth/profile1
85,Aniiq Creations,Slug85,2010-04-06,2010-04-07,4,selcouth/profile2
86,Nikhaar Creations,Slug86,2010-04-07,2010-04-08,5,selcouth/profile3
87,Suruchi Creations,Slug87,2010-04-08,2010-04-09,5,selcouth/profile1
88,Ethnica Arts,Slug88,2010-04-09,2010-04-10,4,selcouth/profile2
89,Nandani Creation Limited ,Slug89,2010-04-10,2010-04-11,5,selcouth/profile1
90,Vatsla Enterprise,Slug90,2010-04-11,2010-04-12,4,selcouth/profile2
91,Laxmi Prints,Slug91,2010-04-12,2010-04-13,4,selcouth/profile3
92,Dot Exports,Slug92,2010-04-13,2010-04-14,3,selcouth/profile1
93,Kessi Fabrics Private Limited,Slug93,2010-04-14,2010-04-15,4,selcouth/profile2
94,Shri Vitrag Fab Design LLP,Slug94,2010-04-15,2010-04-16,2,selcouth/profile3
95,Sam Inc.,Slug95,2010-04-16,2010-04-17,4,selcouth/profile1
96,SK Weaving Factory,Slug96,2010-04-17,2010-04-18,5,selcouth/profile2
97,Jaipuri Bandhej,Slug97,2010-04-18,2010-04-19,2,selcouth/profile3
98,KVS Fab,Slug98,2010-04-19,2010-04-20,3,selcouth/profile1
99,Remtex Export,Slug99,2010-04-20,2010-04-21,5,selcouth/profile2
100,Madam Collections,Slug100,2010-04-21,2010-04-22,5,selcouth/profile1
101,Genera Online Private Limited,Slug101,2010-04-22,2010-04-23,5,selcouth/profile2
102,Mitras',Slug102,2010-04-23,2010-04-24,2,selcouth/profile3
103,Vandana Handicraft,Slug103,2010-04-24,2010-04-25,2,selcouth/profile1
104,Kesari Exports,Slug104,2010-04-25,2010-04-26,2,selcouth/profile2
105,Swami Textiles Private Limited,Slug105,2010-04-26,2010-04-27,3,selcouth/profile3
106,D S S Cottinfab Limited,Slug106,2010-04-27,2010-04-28,3,selcouth/profile1
107,Saree Exotica,Slug107,2010-04-28,2010-04-29,3,selcouth/profile2
108,Indo Shine Industries,Slug108,2010-04-29,2010-04-30,2,selcouth/profile3
109,Adaa Fashion,Slug109,2010-04-30,2010-05-01,2,selcouth/profile1
110,Jackson Machine,Slug110,2010-05-01,2010-05-02,5,selcouth/profile2
111,Girnar Machine Industries,Slug111,2010-05-02,2010-05-03,5,selcouth/profile1
112,JDC Technology,Slug112,2010-05-03,2010-05-04,4,selcouth/profile2
113,JK'S Engineering Works,Slug113,2010-05-04,2010-05-05,3,selcouth/profile3
114,Qualimark Machines Pvt. Ltd.,Slug114,2010-05-05,2010-05-06,2,selcouth/profile1
115,Shree Hari Traders,Slug115,2010-05-06,2010-05-07,2,selcouth/profile2
116,Grace Food Processing & Packaging Machinery,Slug116,2010-05-07,2010-05-08,5,selcouth/profile3
117,Jayalakshmi Kitchen Equipments,Slug117,2010-05-08,2010-05-09,4,selcouth/profile1
118,A. V. Engineering Works,Slug118,2010-05-09,2010-05-10,2,selcouth/profile2
119,Kanan Enterprises,Slug119,2010-05-10,2010-05-11,3,selcouth/profile3
120,Deokali Engineering Works,Slug120,2010-05-11,2010-05-12,5,selcouth/profile1
121,D.K. Engineering,Slug121,2010-05-12,2010-05-13,2,selcouth/profile2
122,Global Kitchen Equipments Company,Slug122,2010-05-13,2010-05-14,4,selcouth/profile1
123,Chheda Industries,Slug123,2010-05-14,2010-05-15,3,selcouth/profile2
124,Cookman Cooking Equipments Pvt. Ltd.,Slug124,2010-05-15,2010-05-16,4,selcouth/profile3
125,Jayendra Engineering Works,Slug125,2010-05-16,2010-05-17,5,selcouth/profile1
126,Unitech Exports,Slug126,2010-05-17,2010-05-18,3,selcouth/profile2
127,S. S. Equipments,Slug127,2010-05-18,2010-05-19,3,selcouth/profile3
128,Sri Lakshmi Food Machines,Slug128,2010-05-19,2010-05-20,3,selcouth/profile1
129,Wisdom Automations,Slug129,2010-05-20,2010-05-21,4,selcouth/profile2
130,Dharti Industries,Slug130,2010-05-21,2010-05-22,4,selcouth/profile3
131,R. K. Engineering Co.,Slug131,2010-05-22,2010-05-23,3,selcouth/profile1
132,Indian Machine Mart,Slug132,2010-05-23,2010-05-24,3,selcouth/profile2
133,Dream Kitchens India,Slug133,2010-05-24,2010-05-25,5,selcouth/profile1
134,Rudra Impex,Slug134,2010-05-25,2010-05-26,3,selcouth/profile2
135,Jas Enterprises,Slug135,2010-05-26,2010-05-27,3,selcouth/profile3
136,Rajkumar Agro Engineers Pvt Ltd,Slug136,2010-05-27,2010-05-28,5,selcouth/profile1
137,Rayon Engineers,Slug137,2010-05-28,2010-05-29,3,selcouth/profile2
138,Innova Diesel Generators Pvt Limited,Slug138,2010-05-29,2010-05-30,4,selcouth/profile3
139,Nextgen Automobile Industries,Slug139,2010-05-30,2010-05-31,4,selcouth/profile1
140,Amp Impex Pvt Ltd,Slug140,2010-05-31,2010-06-01,5,selcouth/profile2
141,Stackers & Movers India Manufacturing Company,Slug141,2010-06-01,2010-06-02,4,selcouth/profile3
142,Om Packaging,Slug142,2010-06-02,2010-06-03,5,selcouth/profile1
143,Motoxo Electric,Slug143,2010-06-03,2010-06-04,2,selcouth/profile2
144,SS Overseas,Slug144,2010-06-04,2010-06-05,3,selcouth/profile1
145,AG International Private Limited,Slug145,2010-06-05,2010-06-06,4,selcouth/profile2
146,YC Electric Vehicle,Slug146,2010-06-06,2010-06-07,3,selcouth/profile3
147,Multi Dimensional Solutions,Slug147,2010-06-07,2010-06-08,2,selcouth/profile1
148,Tejus Motors,Slug148,2010-06-08,2010-06-09,5,selcouth/profile2
149,Shree Jee Enterprises,Slug149,2010-06-09,2010-06-10,4,selcouth/profile3
150,Terra Motors India Pvt Ltd.,Slug150,2010-06-10,2010-06-11,3,selcouth/profile1
151,Sovan Auto Manufacturer Private Limited,Slug151,2010-06-11,2010-06-12,3,selcouth/profile2
152,Reet Industries,Slug152,2010-06-12,2010-06-13,2,selcouth/profile3
153,Amit E Rickshow Controls,Slug153,2010-06-13,2010-06-14,4,selcouth/profile1
154,Prem Enterprises,Slug154,2010-06-14,2010-06-15,4,selcouth/profile2
155,Mukherjee E- Tech Enterprises,Slug155,2010-06-15,2010-06-16,5,selcouth/profile1
156,Jangid Motors,Slug156,2010-06-16,2010-06-17,2,selcouth/profile2
157,TMA International Private Limited,Slug157,2010-06-17,2010-06-18,2,selcouth/profile3
158,Star Trace Private Limited,Slug158,2010-06-18,2010-06-19,5,selcouth/profile1
159,Lavancha Renewable Energy Private Limited,Slug159,2010-06-19,2010-06-20,3,selcouth/profile2
160,Globotech Enterprise,Slug160,2010-06-20,2010-06-21,4,selcouth/profile3
161,Span Power Systems Private Limited,Slug161,2010-06-21,2010-06-22,3,selcouth/profile1
162,Capital Battery Company ,Slug162,2010-06-22,2010-06-23,2,selcouth/profile2
163,Success Impex Private Limited,Slug163,2010-06-23,2010-06-24,5,selcouth/profile3
164,Remi Overseas Pvt. Ltd.,Slug164,2010-06-24,2010-06-25,5,selcouth/profile1
165,Sunergy Engineering Private Limited,Slug165,2010-06-25,2010-06-26,2,selcouth/profile2
166,Achintya Projects & Services,Slug166,2010-06-26,2010-06-27,3,selcouth/profile1
167,Greenmax Technology,Slug167,2010-06-27,2010-06-28,2,selcouth/profile2
168,Beta Power Controls,Slug168,2010-06-28,2010-06-29,2,selcouth/profile3
169,Karan Overseas International Co.,Slug169,2010-06-29,2010-06-30,2,selcouth/profile1
170,GEESYS Technologies ,Slug170,2010-06-30,2010-07-01,3,selcouth/profile2
171,Vibrant Engineering Mechanics & Automation Controls,Slug171,2010-07-01,2010-07-02,4,selcouth/profile3
172,ARDP Casting & Engineering Private Limited,Slug172,2010-07-02,2010-07-03,4,selcouth/profile1
173,Swara Impex,Slug173,2010-07-03,2010-07-04,2,selcouth/profile2
174,Radha Energy Cell,Slug174,2010-07-04,2010-07-05,5,selcouth/profile3
175,Metro Electronics,Slug175,2010-07-05,2010-07-06,3,selcouth/profile1
176,PS Enterprises,Slug176,2010-07-06,2010-07-07,5,selcouth/profile2
177,Aviation Power Systems,Slug177,2010-07-07,2010-07-08,4,selcouth/profile1
178,Electric Industries,Slug178,2010-07-08,2010-07-09,5,selcouth/profile2
179,Esso Fab Tech Private Limited,Slug179,2010-07-09,2010-07-10,5,selcouth/profile3
180,Insha Exports Private Limited,Slug180,2010-07-10,2010-07-11,5,selcouth/profile1
181,Advanced Technocracy Inc.,Slug181,2010-07-11,2010-07-12,4,selcouth/profile2
182,Starc Energy Solutions OPC Private Limited,Slug182,2010-07-12,2010-07-13,5,selcouth/profile3
183,KRV International,Slug183,2010-07-13,2010-07-14,5,selcouth/profile1
184,Yugma Impressions,Slug184,2010-07-14,2010-07-15,3,selcouth/profile2
185,Dot Exports,Slug185,2010-07-15,2010-07-16,5,selcouth/profile3
186,Viva N Diva Couture,Slug186,2010-07-16,2010-07-17,3,selcouth/profile1
187,Surya Silks India Pvt Ltd,Slug187,2010-07-17,2010-07-18,4,selcouth/profile2
188,Vastra Gram,Slug188,2010-07-18,2010-07-19,4,selcouth/profile1
189,Vatsla Enterprise,Slug189,2010-07-19,2010-07-20,2,selcouth/profile2
190,Ishika Fashion Private Limited,Slug190,2010-07-20,2010-07-21,3,selcouth/profile3
191,Indian Women Fashions Private Limited,Slug191,2010-07-21,2010-07-22,4,selcouth/profile1
192,Advance Hub,Slug192,2010-07-22,2010-07-23,3,selcouth/profile2
193,Lal10,Slug193,2010-07-23,2010-07-24,5,selcouth/profile3
194,The Style,Slug194,2010-07-24,2010-07-25,3,selcouth/profile1
195,Clothely Wholesale,Slug195,2010-07-25,2010-07-26,3,selcouth/profile2
196,Shivay Technology,Slug196,2010-07-26,2010-07-27,2,selcouth/profile3
197,Zaasmart,Slug197,2010-07-27,2010-07-28,4,selcouth/profile1
198,Gaurav Textiles,Slug198,2010-07-28,2010-07-29,3,selcouth/profile2
199,Jau Fashion,Slug199,2010-07-29,2010-07-30,4,selcouth/profile1
200,Fabfirki,Slug200,2010-07-30,2010-07-31,4,selcouth/profile2
201,Kesari Exports,Slug201,2010-07-31,2010-08-01,5,selcouth/profile3
202,Saree Exotica,Slug202,2010-08-01,2010-08-02,4,selcouth/profile1
203,Hoshiyar Singh Suresh Chandra Sarees Private Limited,Slug203,2010-08-02,2010-08-03,5,selcouth/profile2
204,Mahek Sarees,Slug204,2010-08-03,2010-08-04,4,selcouth/profile3
205,Sudhhz,Slug205,2010-08-04,2010-08-05,3,selcouth/profile1
206,Shree Exports,Slug206,2010-08-05,2010-08-06,2,selcouth/profile2
207,Vastra Export,Slug207,2010-08-06,2010-08-07,4,selcouth/profile3
208,Fabricatic,Slug208,2010-08-07,2010-08-08,2,selcouth/profile1
209,Bhawani Textile Mill,Slug209,2010-08-08,2010-08-09,2,selcouth/profile2
210,Riva Enterprise,Slug210,2010-08-09,2010-08-10,3,selcouth/profile1
211,V Dreams Fashion House,Slug211,2010-08-10,2010-08-11,5,selcouth/profile2
212,LuckyPlastics,Slug212,2010-08-11,2010-08-12,5,selcouth/profile3
213,Bharath Fushing,Slug213,2010-08-12,2010-08-13,3,selcouth/profile1
214,Faco Automation,Slug214,2010-08-13,2010-08-14,2,selcouth/profile2
215,Sigma Imex,Slug215,2010-08-14,2010-08-15,2,selcouth/profile3
216,M.S. Machinery,Slug216,2010-08-15,2010-08-16,4,selcouth/profile1
217,Ashok Industries,Slug217,2010-08-16,2010-08-17,2,selcouth/profile2
218,Bodhi Professional Solutions ,Slug218,2010-08-17,2010-08-18,5,selcouth/profile3
219,Yoz Tech India,Slug219,2010-08-18,2010-08-19,3,selcouth/profile1
220,Labh Traders,Slug220,2010-08-19,2010-08-20,5,selcouth/profile2
221,Global Trade Solution,Slug221,2010-08-20,2010-08-21,4,selcouth/profile1
222,Asees International,Slug222,2010-08-21,2010-08-22,2,selcouth/profile2
223,Screen Print Table,Slug223,2010-08-22,2010-08-23,4,selcouth/profile3
224,HB Export House,Slug224,2010-08-23,2010-08-24,3,selcouth/profile1
225,Embroidery Notion,Slug225,2010-08-24,2010-08-25,3,selcouth/profile2
226,Meditek Printing Solutions Private Limited,Slug226,2010-08-25,2010-08-26,4,selcouth/profile3
227,The Standard Type Foundry,Slug227,2010-08-26,2010-08-27,3,selcouth/profile1
228,Abhishek Computer,Slug228,2010-08-27,2010-08-28,5,selcouth/profile2
229,Axis Enterprises,Slug229,2010-08-28,2010-08-29,4,selcouth/profile3
230,Style Us Brands Private Limited,Slug230,2010-08-29,2010-08-30,4,selcouth/profile1
231,Vee Kay Enterprises,Slug231,2010-08-30,2010-08-31,4,selcouth/profile2
232,Delhi Print Linkers,Slug232,2010-08-31,2010-09-01,5,selcouth/profile1
233,Dreamvista Technologies,Slug233,2010-09-01,2010-09-02,2,selcouth/profile2
234,Gauri Merchandisers,Slug234,2010-09-02,2010-09-03,2,selcouth/profile3
235,Bangalore Sign Corporation,Slug235,2010-09-03,2010-09-04,3,selcouth/profile1
236,Negi Sign Systems & Supplies Co.,Slug236,2010-09-04,2010-09-05,4,selcouth/profile2
237,Pearl Print Pack,Slug237,2010-09-05,2010-09-06,4,selcouth/profile3
238,KVS Fab,Slug238,2010-09-06,2010-09-07,4,selcouth/profile1
239,Nice Choice Apparels,Slug239,2010-09-07,2010-09-08,3,selcouth/profile2
240,Triumph Sportswear Design Studio Private Limited,Slug240,2010-09-08,2010-09-09,5,selcouth/profile3
241,INDIGO ENTERPRISES,Slug241,2010-09-09,2010-09-10,2,selcouth/profile1
242,Vogue Sourcing,Slug242,2010-09-10,2010-09-11,3,selcouth/profile2
243,Bollywood Fashion Exports,Slug243,2010-09-11,2010-09-12,5,selcouth/profile1
244,Worldwide Exports,Slug244,2010-09-12,2010-09-13,5,selcouth/profile2
245,Adinath Global Exports,Slug245,2010-09-13,2010-09-14,3,selcouth/profile3
246,J. C Overseas Inc.,Slug246,2010-09-14,2010-09-15,2,selcouth/profile1
247,Rasathe Garments,Slug247,2010-09-15,2010-09-16,2,selcouth/profile2
248,Yoke Corporation,Slug248,2010-09-16,2010-09-17,3,selcouth/profile3
249,Sanjana Garments & Handicrafts,Slug249,2010-09-17,2010-09-18,4,selcouth/profile1
250,A. P. Handicrafts,Slug250,2010-09-18,2010-09-19,5,selcouth/profile2
251,Aim Worldwide Pvt. Ltd.,Slug251,2010-09-19,2010-09-20,3,selcouth/profile3
252,He-Man Garments,Slug252,2010-09-20,2010-09-21,4,selcouth/profile1
253,Patel Manufacturing Company,Slug253,2010-09-21,2010-09-22,3,selcouth/profile2
254,Banswara Syntex Limited,Slug254,2010-09-22,2010-09-23,5,selcouth/profile1
255,Cheran Company,Slug255,2010-09-23,2010-09-24,5,selcouth/profile2
256,Raj Knits,Slug256,2010-09-24,2010-09-25,2,selcouth/profile3
257,Subhadra Exports,Slug257,2010-09-25,2010-09-26,5,selcouth/profile1
258,Kessi Fabrics Private Limited,Slug258,2010-09-26,2010-09-27,5,selcouth/profile2
259,Sakambhari Silk Mills Private Limited,Slug259,2010-09-27,2010-09-28,2,selcouth/profile3
260,Viva N Diva Couture,Slug260,2010-09-28,2010-09-29,3,selcouth/profile1
261,Shri Vitrag Fab Design LLP,Slug261,2010-09-29,2010-09-30,3,selcouth/profile2
262,Vastra Gram,Slug262,2010-09-30,2010-10-01,2,selcouth/profile3
263,Saree Exotica,Slug263,2010-10-01,2010-10-02,5,selcouth/profile1
264,KVS Fab,Slug264,2010-10-02,2010-10-03,2,selcouth/profile2
265,Remtex Export,Slug265,2010-10-03,2010-10-04,5,selcouth/profile1
266,Pal Synthetics Limited,Slug266,2010-10-04,2010-10-05,5,selcouth/profile2
267,Priya Global,Slug267,2010-10-05,2010-10-06,4,selcouth/profile3
268,Manchester Industries,Slug268,2010-10-06,2010-10-07,4,selcouth/profile1
269,R K Garments Cloth Tailor,Slug269,2010-10-07,2010-10-08,4,selcouth/profile2
270,Cumulus Export Private Limited,Slug270,2010-10-08,2010-10-09,5,selcouth/profile3
271,Teamwins Apparels,Slug271,2010-10-09,2010-10-10,5,selcouth/profile1
272,Jainam Overseas Private Limited,Slug272,2010-10-10,2010-10-11,3,selcouth/profile2
273,Jsdc Inc,Slug273,2010-10-11,2010-10-12,3,selcouth/profile3
274,Surya Impex,Slug274,2010-10-12,2010-10-13,5,selcouth/profile1
275,Gaurav Fab,Slug275,2010-10-13,2010-10-14,4,selcouth/profile2
276,F3Fashion,Slug276,2010-10-14,2010-10-15,5,selcouth/profile1
277,Clothely Wholesale,Slug277,2010-10-15,2010-10-16,2,selcouth/profile2
278,Neeta Creation,Slug278,2010-10-16,2010-10-17,2,selcouth/profile3
279,Thankar India E-commerce,Slug279,2010-10-17,2010-10-18,2,selcouth/profile1
280,Fabfirki,Slug280,2010-10-18,2010-10-19,3,selcouth/profile2
281,Hitansh Infotech,Slug281,2010-10-19,2010-10-20,5,selcouth/profile3
282,Vandana Handicraft,Slug282,2010-10-20,2010-10-21,3,selcouth/profile1
283,The Style,Slug283,2010-10-21,2010-10-22,3,selcouth/profile2
284,Vedant Fashion,Slug284,2010-10-22,2010-10-23,3,selcouth/profile3
285,Jani Import Export,Slug285,2010-10-23,2010-10-24,3,selcouth/profile1
286,Fab Rajasthan,Slug286,2010-10-24,2010-10-25,5,selcouth/profile2
287,PR Fashion,Slug287,2010-10-25,2010-10-26,3,selcouth/profile1
288,Vastra Export,Slug288,2010-10-26,2010-10-27,3,selcouth/profile2
289,Bollywood Fashion Exports,Slug289,2010-10-27,2010-10-28,3,selcouth/profile3
290,Shivay Technology,Slug290,2010-10-28,2010-10-29,3,selcouth/profile1
291,Stylishsaree.com,Slug291,2010-10-29,2010-10-30,2,selcouth/profile2
292,Bandhani Palace,Slug292,2010-10-30,2010-10-31,3,selcouth/profile3
293,Nikhaar Creations,Slug293,2010-10-31,2010-11-01,2,selcouth/profile1
294,Vastra Gram,Slug294,2010-11-01,2010-11-02,3,selcouth/profile2
295,"Lucky Enterprises, New Delhi",Slug295,2010-11-02,2010-11-03,3,selcouth/profile3
296,Surya Silks India Pvt Ltd,Slug296,2010-11-03,2010-11-04,2,selcouth/profile1
297,Kessi Fabrics Private Limited,Slug297,2010-11-04,2010-11-05,5,selcouth/profile2
298,Dot Exports,Slug298,2010-11-05,2010-11-06,3,selcouth/profile1
299,Laxmi Prints,Slug299,2010-11-06,2010-11-07,5,selcouth/profile2
300,Shri Vitrag Fab Design LLP,Slug300,2010-11-07,2010-11-08,2,selcouth/profile3
301,Ishika Fashion Private Limited,Slug301,2010-11-08,2010-11-09,5,selcouth/profile1
302,Suruchi Creations,Slug302,2010-11-09,2010-11-10,3,selcouth/profile2
303,Adaa Fashion,Slug303,2010-11-10,2010-11-11,5,selcouth/profile3
304,Saree Exotica,Slug304,2010-11-11,2010-11-12,5,selcouth/profile1
305,KVS Fab,Slug305,2010-11-12,2010-11-13,4,selcouth/profile2
306,Kesari Exports,Slug306,2010-11-13,2010-11-14,4,selcouth/profile3
307,Swastika Group,Slug307,2010-11-14,2010-11-15,4,selcouth/profile1
308,Jau Fashion,Slug308,2010-11-15,2010-11-16,4,selcouth/profile2
309,Fabricatic,Slug309,2010-11-16,2010-11-17,3,selcouth/profile1
310,Jainam Overseas Private Limited,Slug310,2010-11-17,2010-11-18,5,selcouth/profile2
311,Gyan Sons,Slug311,2010-11-18,2010-11-19,3,selcouth/profile3
312,IndianBoutique NX,Slug312,2010-11-19,2010-11-20,5,selcouth/profile1
313,Neeta Creation,Slug313,2010-11-20,2010-11-21,2,selcouth/profile2
314,Leranath Fashion,Slug314,2010-11-21,2010-11-22,2,selcouth/profile3
315,Bansal Synthetics,Slug315,2010-11-22,2010-11-23,5,selcouth/profile1
316,Maajisa Group,Slug316,2010-11-23,2010-11-24,3,selcouth/profile2
317,Adinath Global Exports,Slug317,2010-11-24,2010-11-25,4,selcouth/profile3
318,Monika Fabrics,Slug318,2010-11-25,2010-11-26,2,selcouth/profile1
319,Mullaji Impex,Slug319,2010-11-26,2010-11-27,5,selcouth/profile2
320,Matrix Exports,Slug320,2010-11-27,2010-11-28,5,selcouth/profile1
321,Whale Stationery Products Limited,Slug321,2010-11-28,2010-11-29,5,selcouth/profile2
322,Jagraon Global Industries,Slug322,2010-11-29,2010-11-30,3,selcouth/profile3
323,Guardian Traders & Suppliers,Slug323,2010-11-30,2010-12-01,5,selcouth/profile1
324,Radiance Impex International,Slug324,2010-12-01,2010-12-02,2,selcouth/profile2
325,Midway Exports,Slug325,2010-12-02,2010-12-03,4,selcouth/profile3
